,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,D:dota_replay/Virtus.pro/20260406/,http://replay273.valve.net/570/8759585866_1639179843.dem.bz2,54.88613986968994,toDo,8759585866
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,D:dota_replay/Virtus.pro/20260406/,http://replay272.valve.net/570/8759524795_2105943314.dem.bz2,48.713236808776855,toDo,8759524795
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,D:dota_replay/Virtus.pro/20260406/,http://replay273.valve.net/570/8759455338_955437187.dem.bz2,45.589234352111816,toDo,8759455338
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,D:dota_replay/Virtus.pro/20260405/,http://replay273.valve.net/570/8758993964_911147417.dem.bz2,50.30546283721924,toDo,8758993964
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,D:dota_replay/Virtus.pro/20260405/,http://replay273.valve.net/570/8758886089_1696372526.dem.bz2,62.24418640136719,toDo,8758886089
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,D:dota_replay/Virtus.pro/20260405/,http://replay271.valve.net/570/8758783804_457865847.dem.bz2,54.60069274902344,toDo,8758783804
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,D:dota_replay/Virtus.pro/20260405/,http://replay271.valve.net/570/8757769291_118477564.dem.bz2,32.0641565322876,toDo,8757769291
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,D:dota_replay/Virtus.pro/20260405/,http://replay274.valve.net/570/8757649115_913539455.dem.bz2,93.617901802063,toDo,8757649115
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,D:dota_replay/Virtus.pro/20260402/,http://replay274.valve.net/570/8754582619_1767878337.dem.bz2,76.50160121917725,toDo,8754582619
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,D:dota_replay/Virtus.pro/20260402/,http://replay273.valve.net/570/8754463676_1564655361.dem.bz2,94.16250038146973,toDo,8754463676
