,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
97,97.0,97.0,97.0,97.0,97.0,97.0,,,,,D:dota_replay/PARIVISION/20260511/,http://replay273.valve.net/570/8805862156_775592420.dem.bz2,61.35917568206787,toDo,8805862156
98,98.0,98.0,98.0,98.0,98.0,98.0,,,,,D:dota_replay/PARIVISION/20260510/,http://replay271.valve.net/570/8805773858_2043861472.dem.bz2,53.540042877197266,toDo,8805773858
99,99.0,99.0,99.0,99.0,99.0,99.0,,,,,D:dota_replay/PARIVISION/20260510/,http://replay273.valve.net/570/8804593771_858435801.dem.bz2,56.309682846069336,toDo,8804593771
100,100.0,100.0,100.0,100.0,100.0,100.0,,,,,D:dota_replay/PARIVISION/20260510/,http://replay272.valve.net/570/8804529019_144490572.dem.bz2,40.28302478790283,toDo,8804529019
101,101.0,101.0,101.0,101.0,101.0,101.0,,,,,D:dota_replay/PARIVISION/20260510/,http://replay271.valve.net/570/8804425449_144022632.dem.bz2,83.99790287017822,toDo,8804425449
102,102.0,102.0,102.0,102.0,102.0,102.0,,,,,D:dota_replay/PARIVISION/20260509/,http://replay272.valve.net/570/8803167635_1000148185.dem.bz2,67.18920421600342,toDo,8803167635
103,103.0,103.0,103.0,103.0,103.0,103.0,,,,,D:dota_replay/PARIVISION/20260509/,http://replay272.valve.net/570/8803088532_1380245427.dem.bz2,55.15040016174317,toDo,8803088532
104,,,,,,,,,,,dota_replay/PARIVISION/20260514/,http://replay274.valve.net/570/8809600367_332929692.dem.bz2,118.61224460601807,toDo,8809600367
105,,,,,,,,,,,dota_replay/PARIVISION/20260513/,http://replay274.valve.net/570/8809504168_777574777.dem.bz2,117.29790210723877,toDo,8809504168
106,,,,,,,,,,,dota_replay/PARIVISION/20260513/,http://replay272.valve.net/570/8809412954_583302476.dem.bz2,91.9035415649414,toDo,8809412954
107,,,,,,,,,,,dota_replay/PARIVISION/20260512/,http://replay273.valve.net/570/8807232081_182569516.dem.bz2,44.633798599243164,toDo,8807232081
108,,,,,,,,,,,dota_replay/PARIVISION/20260512/,http://replay273.valve.net/570/8807150359_1046663086.dem.bz2,46.152814865112305,toDo,8807150359
109,,,,,,,,,,,dota_replay/PARIVISION/20260511/,http://replay274.valve.net/570/8807061841_742393408.dem.bz2,60.79768180847168,toDo,8807061841
