,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
66,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,D:dota_replay/Yellow Submarine/20260222/,http://replay271.valve.net/570/8700324023_1501128133.dem.bz2,72.15141487121582,toDo,8700324023
67,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,D:dota_replay/Yellow Submarine/20260220/,http://replay271.valve.net/570/8698399415_2054184578.dem.bz2,37.6339807510376,toDo,8698399415
68,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,D:dota_replay/Yellow Submarine/20260220/,http://replay271.valve.net/570/8698315448_34934215.dem.bz2,70.50903129577637,toDo,8698315448
69,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,D:dota_replay/Yellow Submarine/20260214/,http://replay185.valve.net/570/8690611510_1336725859.dem.bz2,62.6688232421875,toDo,8690611510
70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,D:dota_replay/Yellow Submarine/20260214/,http://replay183.valve.net/570/8690519807_248994244.dem.bz2,87.23081302642822,toDo,8690519807
71,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,D:dota_replay/Yellow Submarine/20260214/,http://replay185.valve.net/570/8690443559_691999199.dem.bz2,69.66863536834717,toDo,8690443559
72,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,D:dota_replay/Yellow Submarine/20260213/,http://replay184.valve.net/570/8689196480_1316809302.dem.bz2,40.24225425720215,toDo,8689196480
73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,D:dota_replay/Yellow Submarine/20260213/,http://replay185.valve.net/570/8689142506_2069701381.dem.bz2,53.417616844177246,toDo,8689142506
74,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,D:dota_replay/Yellow Submarine/20260213/,http://replay182.valve.net/570/8689078618_320936312.dem.bz2,78.3536148071289,toDo,8689078618
75,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,D:dota_replay/Yellow Submarine/20260212/,http://replay182.valve.net/570/8687904415_268006875.dem.bz2,62.941184997558594,toDo,8687904415
76,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,D:dota_replay/Yellow Submarine/20260212/,http://replay185.valve.net/570/8687817179_1696225304.dem.bz2,112.87118244171144,toDo,8687817179
77,77.0,77.0,77.0,77.0,77.0,77.0,,,,,,D:dota_replay/Yellow Submarine/20260510/,http://replay271.valve.net/570/8805663571_2057958150.dem.bz2,59.49338912963867,toDo,8805663571
78,78.0,78.0,78.0,78.0,78.0,78.0,,,,,,D:dota_replay/Yellow Submarine/20260510/,http://replay272.valve.net/570/8805569200_1212213080.dem.bz2,60.933756828308105,toDo,8805569200
79,79.0,79.0,79.0,79.0,79.0,79.0,,,,,,D:dota_replay/Yellow Submarine/20260510/,http://replay274.valve.net/570/8805414368_709255954.dem.bz2,118.72837162017822,toDo,8805414368
80,80.0,80.0,80.0,80.0,80.0,80.0,,,,,,D:dota_replay/Yellow Submarine/20260509/,http://replay274.valve.net/570/8803798979_1529042335.dem.bz2,50.90810489654541,toDo,8803798979
81,81.0,81.0,81.0,81.0,81.0,81.0,,,,,,D:dota_replay/Yellow Submarine/20260509/,http://replay274.valve.net/570/8803706352_532742649.dem.bz2,104.39055728912354,toDo,8803706352
82,82.0,82.0,82.0,82.0,82.0,82.0,,,,,,D:dota_replay/Yellow Submarine/20260508/,http://replay271.valve.net/570/8802399753_305532438.dem.bz2,49.35721778869629,toDo,8802399753
83,83.0,83.0,83.0,83.0,83.0,83.0,,,,,,D:dota_replay/Yellow Submarine/20260508/,http://replay273.valve.net/570/8802328626_321035736.dem.bz2,72.30050659179688,toDo,8802328626
84,84.0,84.0,84.0,84.0,84.0,84.0,,,,,,D:dota_replay/Yellow Submarine/20260506/,http://replay271.valve.net/570/8799969151_799358096.dem.bz2,104.56466674804688,toDo,8799969151
85,85.0,85.0,85.0,85.0,85.0,85.0,,,,,,D:dota_replay/Yellow Submarine/20260506/,http://replay271.valve.net/570/8799897822_1700286281.dem.bz2,103.06353950500488,toDo,8799897822
86,86.0,86.0,86.0,86.0,86.0,86.0,,,,,,D:dota_replay/Yellow Submarine/20260505/,http://replay274.valve.net/570/8798846842_234313987.dem.bz2,50.370819091796875,toDo,8798846842
87,87.0,87.0,87.0,87.0,87.0,87.0,,,,,,D:dota_replay/Yellow Submarine/20260505/,http://replay273.valve.net/570/8798776092_169445728.dem.bz2,65.14129161834717,toDo,8798776092
88,88.0,88.0,88.0,88.0,88.0,88.0,,,,,,D:dota_replay/Yellow Submarine/20260505/,http://replay271.valve.net/570/8798715738_424626024.dem.bz2,64.63138389587402,toDo,8798715738
89,89.0,89.0,89.0,89.0,89.0,89.0,,,,,,D:dota_replay/Yellow Submarine/20260504/,http://replay274.valve.net/570/8797005855_1064340949.dem.bz2,49.927334785461426,toDo,8797005855
90,90.0,90.0,90.0,90.0,90.0,90.0,,,,,,D:dota_replay/Yellow Submarine/20260504/,http://replay273.valve.net/570/8796923918_1491732525.dem.bz2,66.75050640106201,toDo,8796923918
91,91.0,91.0,91.0,91.0,91.0,91.0,,,,,,D:dota_replay/Yellow Submarine/20260504/,http://replay272.valve.net/570/8796840419_858597571.dem.bz2,63.55459308624267,toDo,8796840419
92,92.0,92.0,92.0,92.0,92.0,92.0,,,,,,D:dota_replay/Yellow Submarine/20260503/,http://replay272.valve.net/570/8795313607_1549908330.dem.bz2,52.47340106964111,toDo,8795313607
93,93.0,93.0,93.0,93.0,93.0,93.0,,,,,,D:dota_replay/Yellow Submarine/20260503/,http://replay273.valve.net/570/8795235991_651411680.dem.bz2,52.50156211853027,toDo,8795235991
94,94.0,94.0,94.0,94.0,94.0,94.0,,,,,,D:dota_replay/Yellow Submarine/20260502/,http://replay274.valve.net/570/8795149036_457266525.dem.bz2,52.04060649871826,toDo,8795149036
