,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,replay_dir_path,replay_url,size,status,match_id
49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,D:dota_replay/MOUZ/20260322/,http://replay274.valve.net/570/8739610662_48063238.dem.bz2,52.72856521606445,toDo,8739610662
50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,D:dota_replay/MOUZ/20260322/,http://replay272.valve.net/570/8739472184_1829917254.dem.bz2,141.30297374725342,toDo,8739472184
51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,D:dota_replay/MOUZ/20260322/,http://replay274.valve.net/570/8739341590_341804163.dem.bz2,186.03326892852783,toDo,8739341590
52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,D:dota_replay/MOUZ/20260310/,http://replay192.valve.net/570/8722692770_803076774.dem.bz2,130.12575149536133,toDo,8722692770
53,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,D:dota_replay/MOUZ/20260310/,http://replay191.valve.net/570/8722615864_1218744240.dem.bz2,122.8108024597168,toDo,8722615864
54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,D:dota_replay/MOUZ/20260310/,http://replay191.valve.net/570/8722516483_1437210708.dem.bz2,152.77500343322754,toDo,8722516483
55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,D:dota_replay/MOUZ/20260309/,http://replay273.valve.net/570/8721428939_1882329327.dem.bz2,130.3943338394165,toDo,8721428939
56,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,D:dota_replay/MOUZ/20260309/,http://replay273.valve.net/570/8721358540_1147348720.dem.bz2,104.78886604309082,toDo,8721358540
57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,D:dota_replay/MOUZ/20260309/,http://replay191.valve.net/570/8721283256_309656794.dem.bz2,87.8508825302124,toDo,8721283256
58,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,D:dota_replay/MOUZ/20260307/,http://replay193.valve.net/570/8719282248_868456968.dem.bz2,105.90155124664308,toDo,8719282248
59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,D:dota_replay/MOUZ/20260307/,http://replay193.valve.net/570/8719206511_1884542923.dem.bz2,112.63859272003174,toDo,8719206511
60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,D:dota_replay/MOUZ/20260227/,http://replay273.valve.net/570/8708690141_1650866460.dem.bz2,98.00712871551514,toDo,8708690141
61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,D:dota_replay/MOUZ/20260227/,http://replay273.valve.net/570/8708565430_1513554407.dem.bz2,75.85433101654053,toDo,8708565430
62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,D:dota_replay/MOUZ/20260227/,http://replay271.valve.net/570/8707467954_167177995.dem.bz2,88.29148864746094,toDo,8707467954
63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,D:dota_replay/MOUZ/20260226/,http://replay272.valve.net/570/8707360093_2074563085.dem.bz2,126.14154434204102,toDo,8707360093
64,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,D:dota_replay/MOUZ/20260226/,http://replay272.valve.net/570/8707250597_177333871.dem.bz2,103.5973663330078,toDo,8707250597
65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,D:dota_replay/MOUZ/20260226/,http://replay271.valve.net/570/8706561733_1817677700.dem.bz2,117.58118152618408,toDo,8706561733
66,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,D:dota_replay/MOUZ/20260226/,http://replay271.valve.net/570/8706520721_1761331689.dem.bz2,97.50744342803956,toDo,8706520721
67,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,D:dota_replay/MOUZ/20260226/,http://replay271.valve.net/570/8706467498_1777827731.dem.bz2,104.10249137878418,toDo,8706467498
68,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,D:dota_replay/MOUZ/20260225/,http://replay272.valve.net/570/8704994010_125674080.dem.bz2,97.10498332977296,toDo,8704994010
69,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,D:dota_replay/MOUZ/20260225/,http://replay274.valve.net/570/8704911047_798157114.dem.bz2,77.07118892669678,toDo,8704911047
70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,D:dota_replay/MOUZ/20260223/,http://replay271.valve.net/570/8703101544_834027139.dem.bz2,83.68518257141113,toDo,8703101544
71,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,D:dota_replay/MOUZ/20260223/,http://replay272.valve.net/570/8702997623_1563800893.dem.bz2,104.52127933502196,toDo,8702997623
72,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,D:dota_replay/MOUZ/20260222/,http://replay272.valve.net/570/8701495156_1124504308.dem.bz2,85.24230766296387,toDo,8701495156
73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,D:dota_replay/MOUZ/20260222/,http://replay271.valve.net/570/8701415358_307836497.dem.bz2,72.55305480957031,toDo,8701415358
74,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,D:dota_replay/MOUZ/20260221/,http://replay272.valve.net/570/8700287136_1335134600.dem.bz2,63.92843723297119,toDo,8700287136
75,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,D:dota_replay/MOUZ/20260221/,http://replay272.valve.net/570/8700166436_1801747295.dem.bz2,93.77056312561037,toDo,8700166436
76,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,D:dota_replay/MOUZ/20260221/,http://replay274.valve.net/570/8700062110_197871703.dem.bz2,71.62988662719727,toDo,8700062110
77,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,D:dota_replay/MOUZ/20260220/,http://replay272.valve.net/570/8698660679_655659578.dem.bz2,86.29658603668213,toDo,8698660679
78,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,D:dota_replay/MOUZ/20260220/,http://replay273.valve.net/570/8698568968_1850175185.dem.bz2,91.5968885421753,toDo,8698568968
79,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,D:dota_replay/MOUZ/20260220/,http://replay274.valve.net/570/8697789792_773923119.dem.bz2,70.87318420410156,toDo,8697789792
80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,D:dota_replay/MOUZ/20260220/,http://replay273.valve.net/570/8697698749_232555023.dem.bz2,98.66105651855467,toDo,8697698749
81,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,D:dota_replay/MOUZ/20260219/,http://replay273.valve.net/570/8697344540_1051798282.dem.bz2,109.50886058807372,toDo,8697344540
82,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,D:dota_replay/MOUZ/20260219/,http://replay271.valve.net/570/8697269393_444608632.dem.bz2,60.69924831390381,toDo,8697269393
83,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,D:dota_replay/MOUZ/20260219/,http://replay271.valve.net/570/8696466009_1772115098.dem.bz2,92.0277681350708,toDo,8696466009
